"year","cgdppc","rgdpnapc","cgdppc_England","rgdpnapc_England","cgdp","rgdp"
1,NA,NA,NA,NA,NA,NA
1000,759,1128,NA,NA,759,1128
1246,NA,NA,NA,NA,NA,NA
1247,NA,NA,NA,NA,NA,NA
1248,NA,NA,NA,NA,NA,NA
1249,NA,NA,NA,NA,NA,NA
1250,NA,NA,NA,NA,NA,NA
1251,NA,NA,NA,NA,NA,NA
1252,NA,NA,888,1320,888,1320
1253,NA,NA,893,1328,893,1328
1254,NA,NA,886,1317,886,1317
1255,NA,NA,865,1285,865,1285
1256,NA,NA,844,1255,844,1255
1257,NA,NA,834,1240,834,1240
1258,NA,NA,954,1418,954,1418
1259,NA,NA,801,1191,801,1191
1260,NA,NA,869,1292,869,1292
1261,NA,NA,865,1286,865,1286
1262,NA,NA,820,1219,820,1219
1263,NA,NA,811,1205,811,1205
1264,NA,NA,795,1182,795,1182
1265,NA,NA,797,1185,797,1185
1266,NA,NA,942,1401,942,1401
1267,NA,NA,884,1313,884,1313
1268,NA,NA,815,1211,815,1211
1269,NA,NA,824,1225,824,1225
1270,NA,NA,802,1192,802,1192
1271,NA,NA,792,1177,792,1177
1272,NA,NA,821,1220,821,1220
1273,NA,NA,773,1149,773,1149
1274,NA,NA,769,1143,769,1143
1275,NA,NA,877,1304,877,1304
1276,NA,NA,771,1146,771,1146
1277,NA,NA,822,1222,822,1222
1278,NA,NA,851,1265,851,1265
1279,NA,NA,705,1048,705,1048
1280,NA,NA,712,1058,712,1058
1281,NA,NA,752,1118,752,1118
1282,NA,NA,725,1078,725,1078
1283,NA,NA,685,1019,685,1019
1284,NA,NA,705,1048,705,1048
1285,NA,NA,710,1055,710,1055
1286,NA,NA,696,1034,696,1034
1287,NA,NA,757,1125,757,1125
1288,NA,NA,730,1085,730,1085
1289,NA,NA,670,995,670,995
1290,NA,NA,675,1004,675,1004
1291,NA,NA,677,1006,677,1006
1292,NA,NA,713,1060,713,1060
1293,NA,NA,730,1086,730,1086
1294,NA,NA,725,1078,725,1078
1295,NA,NA,777,1155,777,1155
1296,NA,NA,809,1202,809,1202
1297,NA,NA,774,1151,774,1151
1298,NA,NA,815,1211,815,1211
1299,NA,NA,785,1167,785,1167
1300,NA,NA,780,1159,780,1159
1301,NA,NA,786,1168,786,1168
1302,NA,NA,806,1199,806,1199
1303,NA,NA,840,1249,840,1249
1304,NA,NA,760,1130,760,1130
1305,NA,NA,782,1162,782,1162
1306,NA,NA,760,1129,760,1129
1307,NA,NA,797,1184,797,1184
1308,NA,NA,807,1199,807,1199
1309,NA,NA,827,1229,827,1229
1310,NA,NA,816,1213,816,1213
1311,NA,NA,845,1257,845,1257
1312,NA,NA,823,1224,823,1224
1313,NA,NA,838,1246,838,1246
1314,NA,NA,839,1247,839,1247
1315,NA,NA,754,1121,754,1121
1316,NA,NA,721,1072,721,1072
1317,NA,NA,764,1136,764,1136
1318,NA,NA,854,1270,854,1270
1319,NA,NA,869,1292,869,1292
1320,NA,NA,852,1266,852,1266
1321,NA,NA,730,1085,730,1085
1322,NA,NA,778,1156,778,1156
1323,NA,NA,818,1215,818,1215
1324,NA,NA,755,1122,755,1122
1325,NA,NA,827,1230,827,1230
1326,NA,NA,837,1245,837,1245
1327,NA,NA,822,1222,822,1222
1328,NA,NA,763,1135,763,1135
1329,NA,NA,802,1193,802,1193
1330,NA,NA,781,1161,781,1161
1331,NA,NA,744,1106,744,1106
1332,NA,NA,782,1163,782,1163
1333,NA,NA,805,1197,805,1197
1334,NA,NA,778,1156,778,1156
1335,NA,NA,745,1107,745,1107
1336,NA,NA,780,1159,780,1159
1337,NA,NA,863,1283,863,1283
