"State","Name","Code","ColRulerName","GDPpc17","HDI17","IHDI17","Gini","ColRuler","ColRulerCode","IndFrom","IndDate","IndViol","IndType","SecFrom","SecDate","SecViol","Into","IntoDate","COWsys","GWsys","Notes"
700,"Afghanistan","AFG","United Kingdom",618.98998960411,0.498,0.35,NA,200,"GBR",200,191908,0,2,-9,-9,-9,-9,-9,191908,191905,"G&W add earlier indep from 1/1/1816-12/30/1888"
540,"Angola","AGO","Portugal",4247.41104936997,0.581,0.393,42.7,235,"PRT",235,197511,1,2,-9,-9,-9,-9,-9,197511,197511,"-9"
339,"Albania","ALB","Turkey",4450.00810706122,0.785,0.706,29,640,"TUR",640,191307,1,2,-9,-9,-9,-9,-9,191401,191301,"COW system interrupted 4/1939-11/1944 (Ital/Ger occup); terr chg also codes 1945 return"
232,"Andorra","AND","Not Colonized",39152.8120739519,0.858,NA,NA,-9,"N/C",-9,127809,0,1,-9,-9,-9,-9,-9,199307,-9,"Nominal French & Spanish suzerainty not enough to code as colonization"
696,"United Arab Emirates","ARE","United Kingdom",40698.8445306129,0.863,NA,NA,200,"GBR",200,197112,0,2,-9,-9,-9,-9,-9,197112,197112,"Terr chg includes the indep case as well as an ""initial system membership list"" entrry (???)"
160,"Argentina","ARG","Spain",14399.6210685905,0.825,0.707,42.4,230,"ESP",230,181607,1,2,-9,-9,-9,-9,-9,184101,181607,"-9"
371,"Armenia","ARM","Turkey",3936.79858189399,0.755,0.68,32.5,640,"TUR",365,199112,0,3,-9,-9,-9,-9,-9,199112,199112,"Terr chg also includes 1918 violent secession (but not system entry); previously under Ottoman/Persian rule; parts ceded to Russia in 1828-89 and 1878"
58,"Antigua and Barbuda","ATG","United Kingdom",14803.0109275452,0.78,NA,NA,200,"GBR",200,198111,0,2,-9,-9,-9,-9,-9,198111,-9,"Includes Antigua/Barbuda/Redonda islands"
900,"Australia","AUS","United Kingdom",57613.226226676,0.939,0.861,34.7,200,"GBR",200,190101,0,1,-9,-9,-9,-9,-9,192001,190101,"-9"
305,"Austria","AUT","Not Colonized",47717.7286469509,0.908,0.835,30.5,-9,"N/C",300,191811,1,4,300,191811,1,-9,-9,191909,191811,"Emerged from breakup of Hapsburg Empire; COW system interrupted 3/1939-4/1945 (German annexation) & 4/1945-7/1955 (Allied occupation);  Terr chg & Polity2 treat as continuation of Austria-Hungary / COW system codes as separate state number"
