"Country or Area","Year","Item","Value"
"Afghanistan","2017","Gross Domestic Product (GDP)","618.98998960411"
"Albania","2017","Gross Domestic Product (GDP)","4450.00810706122"
"Algeria","2017","Gross Domestic Product (GDP)","4055.24658024295"
"Andorra","2017","Gross Domestic Product (GDP)","39152.8120739519"
"Angola","2017","Gross Domestic Product (GDP)","4247.41104936997"
"Anguilla","2017","Gross Domestic Product (GDP)","18860.6937892349"
"Antigua and Barbuda","2017","Gross Domestic Product (GDP)","14803.0109275452"
"Argentina","2017","Gross Domestic Product (GDP)","14399.6210685905"
"Armenia","2017","Gross Domestic Product (GDP)","3936.79858189399"
"Aruba","2017","Gross Domestic Product (GDP)","25655.1020217537"
"Australia","2017","Gross Domestic Product (GDP)","57613.226226676"
"Austria","2017","Gross Domestic Product (GDP)","47717.7286469509"
"Azerbaijan","2017","Gross Domestic Product (GDP)","4146.37428171431"
"Bahamas","2017","Gross Domestic Product (GDP)","29824.6691504726"
"Bahrain","2017","Gross Domestic Product (GDP)","23667.6192931185"
"Bangladesh","2017","Gross Domestic Product (GDP)","1491.67340954649"
"Barbados","2017","Gross Domestic Product (GDP)","16494.1718524144"
"Belarus","2017","Gross Domestic Product (GDP)","5749.81470435261"
"Belgium","2017","Gross Domestic Product (GDP)","43288.9147620453"
"Belize","2017","Gross Domestic Product (GDP)","5076.98884117423"
"Benin","2017","Gross Domestic Product (GDP)","826.475967404579"
"Bermuda","2017","Gross Domestic Product (GDP)","102192.114688096"
"Bhutan","2017","Gross Domestic Product (GDP)","3172.83301309724"
"Bolivia (Plurinational State of)","2017","Gross Domestic Product (GDP)","3393.95582225811"
"Bosnia and Herzegovina","2017","Gross Domestic Product (GDP)","5180.77782708019"
"Botswana","2017","Gross Domestic Product (GDP)","7595.59581687935"
"Brazil","2017","Gross Domestic Product (GDP)","9821.43977614319"
"British Virgin Islands","2017","Gross Domestic Product (GDP)","31916.8168996025"
"Brunei Darussalam","2017","Gross Domestic Product (GDP)","28290.766218846"
"Bulgaria","2017","Gross Domestic Product (GDP)","8218.19557608487"
