"Code","Country","Colonizer","Beginning","End","Duration","VC","VR","VI","V Total","PT1","PT2","PT3","PT4","ET1","ET2","ET3","ET4","ET5","ET6","ET7","ST1","ST2","ST3","ST4","PT Level","ET Level","ST Level","CT Level"
"AFG","Afghanistan","x",1880,1919,39,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,0,25,28
"AGO","Angola","P",1506,1975,469,2,2,2,6,4,1,1,2,2,1,1,2,2,2,2,3,1,3,1,100,79,63,88
"ARE","Unit. Arab. Emir","UK",1850,1971,121,2,0,0,2,2,1,0,0,1,0,2,0,0,0,1,0,1,0,0,33,14,13,22
"BDI","Burundi","B",1897,1962,65,2,1,1,4,3,0,2,1,1,1,4,1,1,1,0,0,0,3,2,80,54,44,65
"BEN","Benin","F",1878,1960,82,1,1,0,2,4,1,1,0,2,2,4,2,1,0,0,0,0,3,2,52,57,44,56
"BFA","Burkina Faso","F",1896,1960,64,1,1,0,2,3,1,0,1,2,2,4,1,0,1,0,0,0,2,2,38,57,38,49
"BGD","Bangladesh","UK",1757,1947,190,2,0,0,2,4,0,2,0,1,3,3,2,0,0,0,0,0,1,0,61,43,6,40
"BHR","Bahrain","UK",1860,1971,111,0,1,0,1,3,0,0,0,1,0,0,1,0,0,2,0,2,0,0,26,14,25,24
"BRN","Brunei","UK",1888,1984,96,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTN","Bhutan","x",1866,1949,83,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,25,17
"BWA","Botswana","UK",1885,1966,81,1,0,0,1,2,1,0,0,1,2,4,1,0,1,1,0,0,3,2,21,50,44,43
"CAF","Central African","F",1890,1960,70,1,2,1,4,4,1,2,1,2,2,4,0,1,1,0,0,1,3,2,85,57,56,73
"CHN","China","x",1842,1949,107,2,2,2,6,2,0,0,2,1,2,2,1,0,0,2,0,0,1,0,82,29,6,42
